cargo,org_politica,persona_juridica,fin_departamento,fin_municipio,campana,tipo,cont_n_contratista,cont_tot_contratista,aportes_n,aportes_tot,aportes_cand_n
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,14,39951500,1,5e4,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,6,150546e3,1,10513361,1
Concejo,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO,Persona Natural,CUNDINAMARCA,SAN JUAN DE RIOSECO,Regionales 2015,Candidato|Financiador,3,14318467,1,272600,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SANTANDER,ENCISO,Regionales 2015,Candidato|Financiador,8,172038e3,1,48e4,1
Alcaldía,CENTRO DEMOCRATICO,Persona Natural,META,CUBARRAL,Regionales 2015,Candidato|Financiador,2,192e5,3,83955258,1
Asamblea,PARTIDO CAMBIO RADICAL,Persona Natural,BOYACA,MIRAFLORES,Regionales 2015,Candidato|Financiador,5,241463400,4,61e6,1
Cámara de Representantes,PARTIDO CENTRO DEMOCRATICO,Persona Natural,META,VILLAVICENCIO,Congreso 2018,Candidato|Financiador,2,33764056,2,79e6,1
Alcaldía,JUNTOS POR SAN JUAN DE ARAMA,Persona Natural,META,SAN JUAN DE ARAMA,Regionales 2015,Candidato|Financiador,4,66e6,10,195e5,10
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Candidato|Financiador,2,22618e3,1,4e7,1
Asamblea,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,CASANARE,YOPAL,Regionales 2015,Candidato|Financiador,2,136e5,1,232e4,1
Alcaldía,PARTIDO CAMBIO RADICAL,Persona Natural,CUNDINAMARCA,CHOCONTA,Regionales 2015,Candidato|Financiador,3,50461200,4,1135e4,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,3,47112053,1,6e4,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,RISARALDA,SANTA ROSA DE CABAL,Regionales 2015,Candidato|Financiador,5,47524089,1,75e4,1
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,2,92082828,1,1e7,1
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,5,2705700,1,1e7,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,3,42149220,1,1584430,1
NA,NA,Persona Natural,SUCRE,SINCELEJO,Regionales 2015,Financiador,19,972451772,1,16e6,1
Concejo,FIRME POR IBAGUE,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Candidato|Financiador,5,66595186,1,86e4,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,NA,NA,Regionales 2015,Candidato,2,95e5,NA,NA,NA
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,11,193356124,1,35e5,1
Alcaldía,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,CUNDINAMARCA,UBALA,Regionales 2015,Candidato|Financiador,12,118128219,1,22e4,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,CUNDINAMARCA,JUNIN,Regionales 2015,Candidato|Financiador,3,5458e4,1,52e3,1
Asamblea,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,2,16813840,3,127e5,2
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,2,17e6,1,8859660,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,2,24910454,1,16e5,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,7,83924e3,3,3036200,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,4,106263850,1,5e6,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,6,247931724,1,62e5,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,BOYACA,GACHANTIVA,Regionales 2015,Candidato|Financiador,2,22799999,1,5e4,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,4,19574e3,1,32e4,1
NA,NA,Persona Natural,CUNDINAMARCA,EL PEÑON,Regionales 2015,Financiador,3,97664750,1,4e6,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,5,141151311,1,5e5,1
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,9,84404142,1,1e6,1
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,15,150704040,1,5e6,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,RISARALDA,SANTA ROSA DE CABAL,Regionales 2015,Candidato|Financiador,4,42093177,1,735200,1
NA,NA,Persona Natural,CHOCO,BAHIA SOLANO (MUTIS),Regionales 2015,Financiador,4,44523920,1,5e6,1
Concejo,DOSQUEBRADAS MEJOR,Persona Natural,RISARALDA,DOSQUEBRADAS,Regionales 2015,Candidato|Financiador,4,39688278,3,6312241,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,NA,NA,Regionales 2015,Candidato,2,14998226,NA,NA,NA
Concejo,PEREIRA CAMBIA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,4,20482624,1,58e4,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,4,6695e4,1,5e5,1
Alcaldía,PARTIDO LIBERAL COLOMBIANO,Persona Natural,CUNDINAMARCA,GUATAQUI,Regionales 2015,Candidato|Financiador,10,151066667,1,3245e4,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,BOYACA,CHITARAQUE,Regionales 2015,Candidato|Financiador,3,2098e4,1,19e4,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,CUNDINAMARCA,MEDINA,Regionales 2015,Candidato|Financiador,4,2174e4,1,6e5,1
NA,NA,Persona Natural,RISARALDA,DOSQUEBRADAS,Regionales 2015,Financiador,6,515e5,1,15e6,1
NA,NA,Persona Natural,VALLE,TULUA,Regionales 2015,Financiador,2,105e5,1,6e5,1
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,13,246048661,1,1e7,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,ANTIOQUIA,ANGELOPOLIS,Regionales 2015,Candidato|Financiador,2,25308600,1,5e4,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,CUNDINAMARCA,JUNIN,Regionales 2015,Candidato|Financiador,3,24539915,1,52e3,1
NA,NA,Persona Natural,CASANARE,YOPAL,Regionales 2015,Financiador,5,67495903,1,9e5,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,2,3979e4,1,25e5,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,14,171778543,1,4e6,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,BOYACA,RAMIRIQUI,Regionales 2015,Candidato|Financiador,2,4625e3,1,5e4,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,BOYACA,MONIQUIRA,Regionales 2015,Candidato|Financiador,3,14e6,1,179e3,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,CUNDINAMARCA,GUAYABAL DE SIQUIMA,Regionales 2015,Candidato|Financiador,5,3012e4,1,1e5,1
NA,NA,Persona Natural,ANTIOQUIA,PUERTO TRIUNFO,Regionales 2015,Financiador,3,30452016,2,1522e4,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,ANTIOQUIA,MEDELLIN,Regionales 2015,Candidato|Financiador,7,109160249,1,5e5,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,ANTIOQUIA,CARMEN DE VIBORAL,Regionales 2015,Candidato|Financiador,13,144051643,1,3e4,1
NA,NA,Persona Natural,ANTIOQUIA,MEDELLIN,Regionales 2015,Financiador,6,225766199,1,3e5,1
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,3,29519716,1,35e4,1
NA,NA,Persona Natural,ANTIOQUIA,ITAGUI,Regionales 2015,Financiador,3,59491911,1,3e6,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,ANTIOQUIA,MEDELLIN,Regionales 2015,Candidato|Financiador,4,423e5,1,2980841,1
Alcaldía,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,CALDAS,NORCASIA,Regionales 2015,Candidato|Financiador,2,222e5,1,81e5,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,CORDOBA,BUENAVISTA,Regionales 2015,Candidato|Financiador,2,40602666,1,21e4,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,ANTIOQUIA,MEDELLIN,Regionales 2015,Candidato|Financiador,5,87816666,9,10576587,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,ANTIOQUIA,ITUANGO,Regionales 2015,Candidato|Financiador,2,117e5,1,543e3,1
NA,NA,Persona Natural,ANTIOQUIA,BELLO,Regionales 2015,Financiador,2,93e4,1,2e6,1
NA,NA,Persona Natural,ANTIOQUIA,LA PINTADA,Regionales 2015,Financiador,5,75205472,32,652e4,32
Concejo,CENTRO DEMOCRATICO,Persona Natural,ANTIOQUIA,AMALFI,Regionales 2015,Candidato|Financiador,2,15546667,1,5e4,1
NA,NA,Persona Natural,ANTIOQUIA,MEDELLIN,Regionales 2015,Financiador,5,175016403,1,29e5,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,CALDAS,NORCASIA,Regionales 2015,Candidato|Financiador,4,35403120,1,55e3,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,CALDAS,LA DORADA,Regionales 2015,Candidato|Financiador,2,201e5,1,145e4,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,CALDAS,LA DORADA,Regionales 2015,Candidato|Financiador,4,68194242,1,23e5,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,ANTIOQUIA,AMALFI,Regionales 2015,Candidato|Financiador,5,11754e3,1,6e4,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,ANTIOQUIA,AMALFI,Regionales 2015,Candidato|Financiador,5,32664046,1,427350,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,ANTIOQUIA,AMALFI,Regionales 2015,Candidato|Financiador,4,147e5,1,5e4,1
NA,NA,Persona Natural,CUNDINAMARCA,CAPARRAPI,Regionales 2015,Financiador,2,75e5,1,38e5,1
Cámara de Representantes,"LISTA DE LA DECENCIA (ASI,UP,MAIS)",Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Congreso 2018,Candidato|Financiador,5,148957858,10,125117530,1
NA,NA,Persona Natural,PUTUMAYO,PUERTO ASIS,Regionales 2015,Financiador,2,33770844,1,1e6,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,6,181260119,1,2e6,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,CUNDINAMARCA,TOCANCIPA,Regionales 2015,Candidato|Financiador,6,172715134,1,870150,1
NA,NA,Persona Natural,BOYACA,TUNJA,Regionales 2015,Financiador,3,10625e3,1,18e5,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Congreso 2018,Financiador,3,39e6,3,95e5,2
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,CUNDINAMARCA,SOACHA,Regionales 2015,Candidato|Financiador,2,2307e4,1,2e6,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Candidato|Financiador,3,11676e4,1,647e4,1
NA,NA,Persona Natural,CUNDINAMARCA,GUTIERREZ,Regionales 2015,Financiador,11,200289496,1,14e6,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Congreso 2018,Financiador,4,111593e3,2,18e5,2
NA,NA,Persona Natural,CHOCO,QUIBDO,Regionales 2015,Financiador,2,7948276,2,49772e3,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,3,21901333,1,2e6,1
NA,NA,Persona Natural,HUILA,PITALITO,Regionales 2015,Financiador,6,62225e3,1,1e7,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,CUNDINAMARCA,UBALA,Regionales 2015,Candidato|Financiador,3,35511e3,1,5e4,1
NA,NA,Persona Natural,CALDAS,MANIZALES,Regionales 2015,Financiador,7,228701602,9,11e5,9
Asamblea,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,CALDAS,LA DORADA,Regionales 2015,Candidato|Financiador,5,30551826,1,35e4,1
NA,NA,Persona Natural,CALDAS,LA DORADA,Regionales 2015,Financiador,10,219024473,1,1e7,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,CALDAS,LA DORADA,Regionales 2015,Candidato|Financiador,3,57499200,1,215e4,1
Alcaldía,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,CUNDINAMARCA,PUERTO SALGAR,Regionales 2015,Candidato|Financiador,6,57933333,1,11753200,1
Alcaldía,PARTIDO LIBERAL COLOMBIANO,Persona Natural,CALDAS,LA DORADA,Regionales 2015,Candidato|Financiador,3,42548e3,1,23016774,1
Concejo,FUERZA POPULAR,Persona Natural,SANTANDER,CIMITARRA,Regionales 2015,Candidato|Financiador,6,2978e4,1,551700,1
NA,NA,Persona Natural,ANTIOQUIA,PUERTO TRIUNFO,Regionales 2015,Financiador,68,491889872,1,1e7,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,2,20233333,1,5e6,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,BOYACA,CHIVOR,Regionales 2015,Candidato|Financiador,2,352e5,1,21e5,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,CUNDINAMARCA,MACHETA,Regionales 2015,Candidato|Financiador,2,18336500,1,1e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Candidato|Financiador,2,8395e4,3,767e4,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,CUNDINAMARCA,VERGARA,Regionales 2015,Candidato|Financiador,4,22e6,1,6e5,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,CUNDINAMARCA,GAMA,Regionales 2015,Candidato|Financiador,2,47138933,1,2e5,1
Concejo,MOVIMIENTO SOCIAL LA BENDICION,Persona Natural,CASANARE,YOPAL,Regionales 2015,Candidato|Financiador,3,2472e5,1,2e5,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,RISARALDA,LA VIRGINIA,Regionales 2015,Candidato|Financiador,5,39603440,2,27e4,1
NA,NA,Persona Natural,RISARALDA,LA VIRGINIA,Regionales 2015,Financiador,4,100847748,1,1e7,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,RISARALDA,LA VIRGINIA,Regionales 2015,Candidato|Financiador,2,16241313,1,1e6,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,RISARALDA,LA VIRGINIA,Regionales 2015,Candidato|Financiador,8,22060392,1,357e3,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,RISARALDA,LA VIRGINIA,Regionales 2015,Candidato|Financiador,8,24792983,1,27e4,1
Alcaldía,PARTIDO CAMBIO RADICAL - PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,RISARALDA,LA VIRGINIA,Regionales 2015,Candidato|Financiador,3,121483339,1,26088960,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,CALDAS,PALESTINA,Regionales 2015,Candidato|Financiador,2,10202e3,2,78e4,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,ANTIOQUIA,SANTA ROSA DE OSOS,Regionales 2015,Candidato|Financiador,3,36243e3,3,605e3,1
NA,NA,Persona Natural,ANTIOQUIA,BELLO,Regionales 2015,Financiador,12,21848e3,1,2e6,1
NA,NA,Persona Natural,ANTIOQUIA,BELLO,Regionales 2015,Financiador,2,47888e3,1,6e5,1
NA,NA,Persona Natural,ANTIOQUIA,BELLO,Regionales 2015,Financiador,2,705e4,2,22e5,1
NA,NA,Persona Natural,ANTIOQUIA,BELLO,Regionales 2015,Financiador,5,136744232,1,4e6,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,ANTIOQUIA,BELLO,Regionales 2015,Candidato|Financiador,4,35856666,1,5e4,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,CUNDINAMARCA,UBATE,Regionales 2015,Candidato|Financiador,2,19e6,1,32e4,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,ANTIOQUIA,BELLO,Regionales 2015,Candidato|Financiador,8,106004624,2,1e7,2
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,ANTIOQUIA,SANTO DOMINGO,Regionales 2015,Candidato|Financiador,4,2085e4,1,5e4,1
NA,NA,Persona Natural,CUNDINAMARCA,VERGARA,Regionales 2015,Financiador,4,60766650,1,3e6,1
NA,NA,Persona Natural,CORDOBA,SAN PELAYO,Regionales 2015,Financiador,3,163159600,1,2e6,1
Asamblea,PARTIDO LIBERAL COLOMBIANO,Persona Natural,BOYACA,TUNJA,Regionales 2015,Candidato|Financiador,3,6521e4,3,22e6,1
NA,NA,Persona Natural,CAQUETA,FLORENCIA,Regionales 2015,Financiador,5,143942606,1,1e7,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Candidato|Financiador,2,864e5,1,7e6,1
NA,NA,Persona Natural,CUNDINAMARCA,GUATAVITA,Regionales 2015,Financiador,9,427398307,1,21e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,BOYACA,SOGAMOSO,Regionales 2015|Congreso 2018,Candidato|Financiador,3,58873648,2,6599942,2
